                  1         2         3         4         5         6         7         8         9
  2.02E-01  2.91E-07  6.68E-06  2.19E-07  5.28E-06  3.02E-07  7.38E-05  1.97E-07  2.92E-04  4.06E-04
  2.20E-01  2.86E-07  6.65E-06  2.17E-07  5.29E-06  3.01E-07  7.42E-05  2.01E-07  2.91E-04  4.06E-04
  2.38E-01  2.85E-07  7.81E-06  2.15E-07  6.27E-06  3.32E-07  8.85E-05  2.06E-07  3.04E-04  4.05E-04
  2.58E-01  2.99E-07  1.39E-05  2.16E-07  1.13E-05  4.99E-07  1.61E-04  2.24E-07  3.76E-04  4.06E-04
  2.79E-01  3.35E-07  2.52E-05  2.25E-07  2.06E-05  8.40E-07  2.96E-04  2.56E-07  5.10E-04  4.08E-04
  3.01E-01  4.29E-07  4.44E-05  2.43E-07  3.64E-05  1.43E-06  5.26E-04  3.17E-07  7.41E-04  4.12E-04
  3.24E-01  5.87E-07  7.59E-05  2.80E-07  6.26E-05  2.40E-06  9.07E-04  4.18E-07  1.12E-03  4.20E-04
  3.49E-01  8.51E-07  1.26E-04  3.59E-07  1.04E-04  3.97E-06  1.52E-03  5.80E-07  1.74E-03  4.34E-04
  3.75E-01  1.31E-06  2.02E-04  4.82E-07  1.69E-04  6.42E-06  2.46E-03  8.37E-07  2.67E-03  4.55E-04
  4.03E-01  1.98E-06  3.15E-04  6.67E-07  2.64E-04  1.01E-05  3.84E-03  1.24E-06  4.05E-03  4.88E-04
  4.32E-01  2.96E-06  4.75E-04  9.50E-07  4.01E-04  1.54E-05  5.80E-03  1.83E-06  5.96E-03  5.37E-04
  4.62E-01  4.30E-06  6.93E-04  1.36E-06  5.89E-04  2.27E-05  8.41E-03  2.66E-06  8.47E-03  6.05E-04
  4.94E-01  6.12E-06  9.78E-04  1.93E-06  8.36E-04  3.25E-05  1.17E-02  3.79E-06  1.16E-02  6.97E-04
  5.27E-01  8.43E-06  1.34E-03  2.68E-06  1.15E-03  4.52E-05  1.57E-02  5.28E-06  1.52E-02  8.18E-04
  5.62E-01  1.13E-05  1.78E-03  3.63E-06  1.54E-03  6.12E-05  2.03E-02  7.18E-06  1.92E-02  9.73E-04
  5.98E-01  1.47E-05  2.29E-03  4.80E-06  2.00E-03  8.05E-05  2.51E-02  9.55E-06  2.33E-02  1.16E-03
  6.36E-01  1.88E-05  2.88E-03  6.21E-06  2.54E-03  1.04E-04  3.01E-02  1.24E-05  2.73E-02  1.39E-03
  6.74E-01  2.34E-05  3.54E-03  7.87E-06  3.14E-03  1.30E-04  3.50E-02  1.59E-05  3.12E-02  1.66E-03
  7.15E-01  2.85E-05  4.25E-03  9.79E-06  3.81E-03  1.61E-04  3.96E-02  1.99E-05  3.49E-02  1.97E-03
  7.56E-01  3.43E-05  5.01E-03  1.20E-05  4.53E-03  1.95E-04  4.38E-02  2.46E-05  3.82E-02  2.33E-03
